title,author,link,image
PH brings home 91 repatriated Filipinos from Saudi,Philippine Daily Inquirer,http://globalnation.inquirer.net/154869/ph-brings-home-91-repatriated-filipinos-saudi,NULL
"Duterte: Congressional action needed for OFW dept, nat’l ID system",Philippine Daily Inquirer,http://globalnation.inquirer.net/154867/duterte-congressional-action-needed-ofw-dept-natl-id-system,NULL
Pope Francis blasts migrant suffering in Easter prayer,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889266/pope-francis-blasts-migrant-suffering-in-easter-prayer,NULL
Number of IS fighters killed by US bomb jumps to 90—Afghan execs,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889263/number-of-is-fighters-killed-by-us-bomb-jumps-to-90-afghan-execs,NULL
"North Korea rolls out missiles, other weapons at parade",Philippine Daily Inquirer,https://newsinfo.inquirer.net/889244/north-korea-rolls-out-missiles-other-weapons-at-parade,NULL
North Korea starts celebrating birthday of country’s founder,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889226/north-korea-starts-celebrating-birthday-of-countrys-founder,NULL
Top US boarding school details decades of sexual abuse,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889224/top-us-boarding-school-details-decades-of-sexual-abuse,NULL
China warns of war as North Korea vows ‘merciless’ response to US,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889221/china-warns-of-war-as-north-korea-vows-merciless-response-to-us,NULL
Troops mass in Pyongyang show of strength,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889216/troops-mass-in-pyongyang-show-of-strength,NULL
Christian pilgrims commemorate Good Friday in Jerusalem,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889213/christian-pilgrims-commemorate-good-friday-in-jerusalem,NULL
Large asteroid in near miss with Earth on April 19,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889209/large-asteroid-in-near-miss-with-earth-on-april-19,NULL
Abu Sayyaf leader Sahiron with $1M bounty intends to surrender,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889269/abu-sayyaf-leader-sahiron-with-1m-bounty-intends-to-surrender,NULL
Four people drown in Isabela rivers on Good Friday gatherings,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889257/four-people-drown-in-isabela-rivers-on-good-friday-gatherings,NULL
"2 killed, 8 hurt in Pangasinan road accidents during Holy Week break",Philippine Daily Inquirer,https://newsinfo.inquirer.net/889259/2-killed-8-hurt-in-pangasinan-road-accidents-during-holy-week-break,NULL
3 dead in Holy Week drowning incidents in Quezon,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889255/3-dead-in-holy-week-drowning-incidents-in-quezon,NULL
Palawan disaster official shot dead by suspected rebels,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889239/palawan-disaster-official-shot-dead-by-suspected-rebels,NULL
"Almost 1,000 stranded in Bicol ports due to ‘Crising’",Philippine Daily Inquirer,https://newsinfo.inquirer.net/889234/almost-1000-stranded-in-bicol-ports-due-to-crising,NULL
"5 drown in Cavite, Batangas beaches on Good Friday",Philippine Daily Inquirer,https://newsinfo.inquirer.net/889232/5-drown-in-cavite-batangas-beaches-on-good-friday,NULL
4 drown in Pangasinan on Good Friday,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889219/4-drown-in-pangasinan-on-good-friday,NULL
Filipinos re-enact Christ’s crucifixion in gory spectacle,Philippine Daily Inquirer,https://newsinfo.inquirer.net/889175/filipinos-re-enact-christs-crucifixion-in-gory-spectacle,NULL
"Ex-NFL star Hernandez, serving life, acquitted in 2 slayings",Philippine Daily Inquirer,https://sports.inquirer.net/244798/ex-nfl-star-hernandez-serving-life-acquitted-2-slayings,NULL
Johnson could match UFC record with 10th title defense in KC,Philippine Daily Inquirer,https://sports.inquirer.net/244795/johnson-match-ufc-record-10th-title-defense-kc,NULL
NBA: Knicks exec Jackson says Anthony better off elsewhere,Philippine Daily Inquirer,https://sports.inquirer.net/244793/nba-knicks-exec-jackson-says-anthony-better-off-elsewhere,NULL
There will be big international interest in the NBA playoffs,Philippine Daily Inquirer,https://sports.inquirer.net/244788/will-big-international-interest-nba-playoffs,NULL
Sharapova slams ITF for lack of doping warning,Philippine Daily Inquirer,https://sports.inquirer.net/244785/sharapova-slams-itf-lack-doping-warning,NULL
WATCH: Pacquiao works mitts with wife Jinkee,Philippine Daily Inquirer,https://sports.inquirer.net/244745/watch-pacquiao-trains-with-wife-jinkee,NULL
IS ouster clears way for football comeback in Iraq’s Mosul,Philippine Daily Inquirer,https://sports.inquirer.net/244771/ouster-clears-way-football-comeback-iraqs-mosul,NULL
"Curry, KD engage in spontaneous, fierce 3-point shootout",Philippine Daily Inquirer,https://sports.inquirer.net/244774/curry-kd-engage-spontaneous-fierce-3-point-shootout,NULL
LeBron confident as NBA playoffs begin,Philippine Daily Inquirer,https://sports.inquirer.net/244769/lebron-confident-nba-playoffs-begin,NULL
Bangkok’s sidewalks get less spicy as food carts removed,Philippine Daily Inquirer,https://lifestyle.inquirer.net/259923/bangkoks-sidewalks-get-less-spicy-food-carts-removed,NULL
#InquirerSeven reasons to visit Masungi Georeserve in Rizal,Philippine Daily Inquirer,https://lifestyle.inquirer.net/259905/inquirerseven-reasons-visit-masungi-georeserve-rizal,NULL
Gov’t execs take a break from politics this Holy Week,Philippine Daily Inquirer,https://lifestyle.inquirer.net/259902/govt-execs-take-break-politics-holy-week,NULL
LOOK: Pia Wurtzbach slays in ‘Queens of the Universe’ photoshoot,Philippine Daily Inquirer,https://lifestyle.inquirer.net/259898/look-pia-wurtzbach-slays-queens-universe-photoshoot,NULL
WATCH: First ‘Star Wars: The Last Jedi’ trailer thrills fans,Philippine Daily Inquirer,https://entertainment.inquirer.net/222031/watch-first-star-wars-last-jedi-trailer-thrills-fans,NULL
Rian Johnson debuts teaser trailer for ‘The Last Jedi’,Philippine Daily Inquirer,https://entertainment.inquirer.net/222026/rian-johnson-debuts-teaser-trailer-last-jedi,NULL
LOOK: Celebrities pick destinations abroad for Holy Week break,Philippine Daily Inquirer,https://entertainment.inquirer.net/222022/look-celebrities-pick-destinations-abroad-for-holy-week-break,NULL
LOOK: Kim Chiu chooses cool Canada for Holy Week,Philippine Daily Inquirer,https://entertainment.inquirer.net/222001/look-kim-chiu-chooses-cool-canada-for-holy-week,NULL
"Billy Crawford, Coleen Garcia go for a getaway in Thailand",Philippine Daily Inquirer,https://entertainment.inquirer.net/221995/billy-crawford-coleen-garcia-go-for-a-getaway-in-thailand,NULL
Vhong Navarro bonds with family in Europe,Philippine Daily Inquirer,https://entertainment.inquirer.net/221992/vhong-navarro-bonds-family-europe,NULL
"Cacai Bautista, body beautiful in Bacolod",Philippine Daily Inquirer,https://entertainment.inquirer.net/221988/cacai-bautista-body-beautiful-in-bacolod,NULL
"Ogie, Regine enjoy weekend break with kids in Balesin",Philippine Daily Inquirer,https://entertainment.inquirer.net/221985/ogie-regine-enjoy-weekend-break-with-kids-in-balesin,NULL
LOOK: Kris Bernal shows off sexiness in Malaysia,Philippine Daily Inquirer,https://entertainment.inquirer.net/221982/look-kris-bernal-shows-off-sexiness-in-malaysia,NULL
Mercury Drug founder Mariano Que dies at 96,Philippine Daily Inquirer,https://business.inquirer.net/227781/mercury-drug-founder-mariano-que-dies-96,NULL
"Asian markets lower, rattled by rising tensions in Koreas",Philippine Daily Inquirer,https://business.inquirer.net/227778/asian-markets-lower-rattled-rising-tensions-koreas,NULL
Monopoly coming to Nintendo Switch,Philippine Daily Inquirer,https://technology.inquirer.net/61332/monopoly-coming-nintendo-switch,NULL
